City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,dalnegorsk,44.5604,135.5701,-18.94,67,33,6.55,RU,1706748732
312,ad darb,17.7229,42.2526,23.85,68,93,3.26,SA,1706748733
313,kingston,17.997,-76.7936,26.53,80,75,5.66,JM,1706748433
314,odesskoye,54.2111,72.9651,-17.26,99,90,2.64,RU,1706748733
315,naze,28.3667,129.4833,20.51,82,28,6.26,JP,1706748733
316,hilo,19.7297,-155.09,26.81,71,75,2.57,US,1706748733
317,katsuura,35.1333,140.3,13.71,66,46,4.55,JP,1706748733
318,dzhalagash,45.0833,64.6667,-3.15,95,100,8.96,KZ,1706748733
319,anori,-3.7728,-61.6442,25.63,91,100,1.27,BR,1706748733
320,laojunmiao,39.8333,97.7333,-9.98,57,32,1.67,CN,1706748734
321,santana,-0.0583,-51.1817,26.1,89,40,4.12,BR,1706748734
322,holualoa,19.6228,-155.9522,27.1,78,75,4.63,US,1706748734
323,fenoarivo be,-18.4333,46.5667,17.91,93,91,1.39,MG,1706748734
324,qui nhon,13.7667,109.2333,22.62,85,96,2.4,VN,1706748734
325,buka,40.8108,69.1986,0.05,66,100,1.29,UZ,1706748734
326,sinop,41.7711,34.8709,0.13,70,70,0.6,TR,1706748734
327,el granada,37.5027,-122.4694,13.88,91,100,12.35,US,1706748734
328,petrolina,-9.3986,-40.5008,29.03,45,0,4.12,BR,1706748675
329,nadym,65.5333,72.5167,-22.25,100,83,4.46,RU,1706748735
330,queenstown,-31.8976,26.8753,19.75,71,44,1.22,ZA,1706748735
331,aleksandrov gay,50.147,48.5704,-6.25,93,100,3.45,RU,1706748735
332,san mariano,7.5,126.0,22.68,98,100,0.85,PH,1706748735
333,kastellaun,50.0667,7.45,5.79,87,75,7.2,DE,1706748735
334,inderbor,48.55,51.7833,-7.98,85,100,3.75,KZ,1706748735
335,pskov,57.8136,28.3496,1.95,100,100,5.0,RU,1706748735
336,prince albert,53.2001,-105.7677,2.97,65,20,3.6,CA,1706748735
337,lospalos,-8.5186,127.0025,28.63,66,17,0.28,TL,1706748736
338,wotho,10.1657,166.0102,26.6,84,99,10.94,MH,1706748736
339,middlebury (village),44.0153,-73.1673,1.14,87,100,2.57,US,1706748736
340,nago,26.5881,127.9761,23.47,72,16,5.22,JP,1706748736
341,callao,-12.0667,-77.15,26.16,69,100,6.17,PE,1706748736
342,missoula,47.0166,-113.8009,1.58,69,48,1.32,US,1706748736
343,geraldton,-28.7667,114.6,39.23,17,0,8.75,AU,1706748736
344,tidjikja,18.5564,-11.4271,19.09,13,100,5.81,MR,1706748737
345,nizhnyaya salda,58.0776,60.7202,-17.94,100,82,1.76,RU,1706748737
346,mount isa,-20.7333,139.5,29.87,66,40,4.12,AU,1706748737
347,coquimbo,-29.9533,-71.3436,18.85,88,40,4.12,CL,1706748737
348,muntok,-2.0667,105.1833,27.02,80,100,2.0,ID,1706748737
349,raver,21.25,76.0333,18.47,45,100,1.11,IN,1706748737
350,puerto colombia,10.9878,-74.9547,26.05,84,100,11.39,CO,1706748737
351,ujae,8.9322,165.7642,26.78,86,100,10.28,MH,1706748737
352,carnarvon,-24.8667,113.6333,31.53,49,15,3.62,AU,1706748738
353,kapa'a,22.0752,-159.319,26.18,67,100,4.63,US,1706748738
354,miracema do tocantins,-9.5618,-48.3967,24.6,85,100,0.77,BR,1706748738
355,wuwei,37.9281,102.6414,-5.56,91,100,1.16,CN,1706748738
356,tarko-sale,64.9225,77.785,-13.59,95,100,6.61,RU,1706748738
357,berezovo,63.9381,65.0419,-26.78,100,100,2.18,RU,1706748738
358,salinopolis,-0.6136,-47.3561,26.28,89,57,4.19,BR,1706748738
359,mili,6.0815,171.735,28.16,81,29,7.47,MH,1706748738
360,la'ie,21.6477,-157.9253,27.28,56,30,3.13,US,1706748739
361,ventspils,57.3894,21.5606,2.96,93,100,11.32,LV,1706748739
362,nemuro,43.3236,145.575,-1.34,52,2,12.73,JP,1706748739
363,lakhimpur,27.95,80.7667,13.5,77,100,6.04,IN,1706748739
364,lautaro,-38.5167,-72.45,18.99,71,89,1.84,CL,1706748739
365,ballina,-28.8667,153.5667,27.1,62,100,4.91,AU,1706748739
366,karatuzskoye,53.6072,92.8667,-19.79,98,100,1.34,RU,1706748739
367,labytnangi,66.6572,66.4183,-19.13,98,100,3.26,RU,1706748739
368,luwingu,-10.2621,29.9271,17.53,92,100,0.4,ZM,1706748740
369,vangaindrano,-23.35,47.6,23.43,94,100,3.36,MG,1706748740
370,kaedi,16.1465,-13.5047,24.83,12,96,5.19,MR,1706748740
371,sawakin,19.1059,37.3321,20.6,71,67,5.17,SD,1706748740
372,mumford,5.2618,-0.759,26.4,89,87,3.2,GH,1706748740
373,ciudad lazaro cardenas,17.9583,-102.2,26.45,73,100,3.23,MX,1706748740
374,namdrik,5.5994,168.1028,27.37,81,97,1.66,MH,1706748740
375,n'zeto,-7.2312,12.8666,24.99,83,100,0.98,AO,1706748741
376,brookings,44.3114,-96.7984,8.0,81,0,2.06,US,1706748631
377,merizo village,13.2658,144.6691,28.88,73,96,9.73,GU,1706748741
378,mabaruma,8.2,-59.7833,23.78,93,97,1.3,GY,1706748741
379,sept-iles,50.2001,-66.3821,-3.0,69,100,4.63,CA,1706748741
380,lunino,53.5918,45.2271,-3.72,97,100,3.5,RU,1706748741
381,wynyard,-41.0,145.7167,19.21,68,100,6.48,AU,1706748741
382,kerikeri,-35.2268,173.9474,27.23,38,0,1.13,NZ,1706748742
383,zaragoza,41.6561,-0.8773,12.79,93,0,1.03,ES,1706748742
384,matadi,-5.8167,13.45,23.79,94,100,1.32,CD,1706748742
385,serov,59.6033,60.5787,-21.37,100,55,1.16,RU,1706748742
386,susuman,62.7833,148.1667,-25.57,99,100,0.89,RU,1706748742
387,port lavaca,28.615,-96.6261,17.95,78,0,2.57,US,1706748742
388,prado,-17.3411,-39.2208,25.27,88,82,3.81,BR,1706748742
389,belozersk,60.0326,37.7957,-0.66,97,100,3.85,RU,1706748742
390,aoulef,26.9667,1.0833,14.84,22,0,8.52,DZ,1706748743
391,copala,16.65,-98.9833,25.6,79,87,2.54,MX,1706748743
392,antonio enes,-16.2325,39.9086,23.76,93,100,2.21,MZ,1706748743
393,tindouf,27.6711,-8.1474,12.25,40,0,2.06,DZ,1706748743
394,valdivia,-39.8142,-73.2459,21.05,94,47,1.26,CL,1706748743
395,reshetylivka,49.565,34.0782,-0.2,78,100,3.83,UA,1706748743
396,dakhla,23.6848,-15.958,19.66,50,0,3.81,EH,1706748744
397,hadibu,12.65,54.0333,23.75,81,72,2.83,YE,1706748744
398,barra do garcas,-15.89,-52.2567,22.12,91,26,1.36,BR,1706748744
399,san angelo,31.4638,-100.437,18.27,40,100,1.34,US,1706748711
400,palu,-0.8917,119.8707,28.87,72,100,1.07,ID,1706748744
401,kati,12.7441,-8.0726,24.67,15,100,2.05,ML,1706748744
402,worland,44.0169,-107.9554,9.25,59,0,4.12,US,1706748745
403,junqueiro,-9.9253,-36.4758,23.78,90,10,1.73,BR,1706748745
404,paungde,18.4833,95.5,17.32,32,30,1.12,MM,1706748745
405,labuan,5.2767,115.2417,28.2,83,20,3.13,MY,1706748745
406,hasaki,35.7333,140.8333,12.38,60,11,5.82,JP,1706748745
407,astrakhan,46.3497,48.0408,-3.07,93,100,3.0,RU,1706748745
408,bikenibeu village,1.3673,173.1241,31.98,79,75,3.6,KI,1706748745
409,ar ruways,24.1103,52.7306,20.54,82,22,4.51,AE,1706748746
410,al kharj,24.155,47.3346,15.32,71,0,3.32,SA,1706748746
411,berdigestyakh,62.0989,126.6992,-31.89,99,100,1.66,RU,1706748746
412,itapetinga,-15.2489,-40.2478,21.99,89,100,1.51,BR,1706748746
413,zeya,53.75,127.2667,-21.49,83,14,2.15,RU,1706748746
414,qamdo,31.1667,97.2333,-13.23,61,35,2.41,CN,1706748746
415,kirensk,57.7853,108.1119,-29.65,98,99,0.85,RU,1706748746
416,tolanaro,-25.0319,46.9987,25.04,83,75,7.2,MG,1706748746
417,mkushi,-13.6202,29.3939,16.21,94,5,1.63,ZM,1706748747
418,saint-joseph,-21.3667,55.6167,23.21,89,82,6.69,RE,1706748747
419,yakeshi,49.2833,120.7333,-32.49,99,96,1.32,CN,1706748747
420,micheweni,-4.9667,39.8333,27.17,80,100,3.59,TZ,1706748747
421,carutapera,-1.195,-46.02,25.46,94,99,2.75,BR,1706748747
422,mariental,-24.6333,17.9667,25.36,57,2,4.62,NA,1706748747
423,pechora,65.1472,57.2244,-6.19,94,100,4.92,RU,1706748747
424,yashkul',46.1711,45.3435,-3.2,93,23,2.36,RU,1706748748
